钢筋直径：7-250 曲线表
5.0,3539,3777,4027,4285,4563,4853,5151,5466,5766,6091,6413,6743,7048,7354,7678,7997,8264,8545,8836,9194,9406,9646,9873,10084,10254,10392,10509,10614,10692,10740,10757,10746,10706,10641,10554,10432,10294,10119,9923,9718,9477,9237,8969,8693,8417,8111,7784,7453,7156,6857,6526,6196,5902,5603,5302,4997,4691,4399,4130,3858,3631
6.0,3251,3467,3684,3907,4147,4403,4666,4940,5202,5484,5767,6052,6314,6579,6859,7137,7375,7619,7872,8175,8361,8570,8765,8946,9095,9216,9317,9409,9476,9518,9533,9523,9490,9434,9359,9256,9138,8990,8822,8644,8439,8232,8000,7764,7523,7260,6979,6691,6430,6174,5892,5605,5348,5083,4820,4552,4287,4032,3797,3556,3354
7.0,2966,3161,3347,3534,3738,3962,4190,4424,4649,4888,5134,5374,5596,5819,6056,6295,6505,6712,6927,7177,7338,7516,7681,7833,7961,8066,8151,8229,8285,8322,8335,8326,8299,8252,8190,8104,8006,7885,7744,7592,7422,7248,7051,6853,6646,6426,6188,5942,5718,5503,5267,5023,4802,4570,4344,4114,3887,3669,3467,3257,3079
8.0,2689,2863,3018,3174,3342,3535,3729,3926,4116,4314,4524,4722,4905,5090,5286,5487,5669,5842,6021,6221,6359,6507,6643,6767,6875,6964,7035,7100,7146,7178,7188,7180,7159,7121,7070,7001,6921,6825,6709,6583,6445,6301,6138,5976,5802,5621,5425,5219,5029,4854,4662,4457,4271,4072,3881,3686,3496,3313,3143,2963,2807
9.0,2423,2576,2703,2830,2967,3130,3293,3455,3612,3774,3949,4109,4257,4407,4566,4732,4887,5028,5174,5328,5443,5564,5674,5772,5862,5937,5993,6046,6083,6110,6118,6112,6096,6065,6025,5971,5907,5833,5740,5637,5528,5413,5280,5151,5007,4863,4705,4535,4378,4237,4085,3917,3763,3594,3437,3273,3118,2966,2826,2674,2540
10.0,2172,2303,2407,2509,2620,2755,2888,3020,3149,3278,3421,3548,3665,3785,3911,4046,4175,4288,4404,4520,4614,4711,4797,4873,4946,5007,5052,5094,5123,5145,5152,5146,5134,5110,5078,5037,4987,4931,4859,4776,4692,4601,4495,4395,4278,4165,4040,3904,3775,3665,3545,3411,3285,3145,3017,2883,2757,2633,2519,2394,2280
10.6,2030,2149,2240,2331,2428,2547,2665,2781,2894,3007,3132,3243,3344,3448,3557,3676,3789,3888,3988,4084,4167,4251,4325,4390,4454,4507,4546,4582,4607,4626,4632,4627,4617,4596,4569,4534,4491,4444,4382,4309,4238,4159,4068,3982,3880,3782,3675,3556,3443,3347,3244,3127,3016,2892,2780,2661,2551,2442,2341,2231,2129
11.0,1939,2049,2133,2217,2307,2416,2524,2631,2734,2838,2951,3053,3144,3239,3338,3447,3550,3641,3731,3816,3892,3968,4035,4093,4151,4200,4235,4267,4290,4307,4313,4308,4299,4280,4256,4224,4185,4143,4087,4020,3956,3885,3802,3725,3632,3543,3446,3338,3234,3146,3053,2946,2844,2730,2628,2518,2418,2317,2225,2124,2029
12.0,1726,1816,1885,1957,2031,2117,2203,2290,2374,2457,2546,2627,2699,2775,2853,2941,3020,3092,3162,3224,3284,3343,3395,3439,3485,3523,3551,3575,3593,3606,3611,3607,3600,3585,3565,3540,3509,3476,3433,3379,3329,3273,3209,3148,3075,3004,2929,2843,2761,2690,2614,2530,2448,2357,2276,2186,2105,2023,1948,1869,1790
13.0,1536,1607,1664,1727,1790,1857,1925,1997,2064,2132,2199,2266,2323,2385,2446,2518,2576,2633,2687,2733,2780,2826,2866,2900,2936,2965,2988,3005,3019,3028,3033,3030,3023,3011,2995,2975,2948,2922,2888,2845,2805,2760,2711,2661,2604,2547,2488,2421,2355,2296,2233,2167,2101,2029,1964,1891,1825,1757,1697,1636,1572
